Date,Open,High,Low,Close,Adj Close,Volume
34704,3087.699951,3087.699951,3035.100098,3047.000000,3046.996826,0
34705,0,0,0,0,0,0
34708,3044.199951,3044.199951,2973.600098,3003.600098,3003.597168,0
34709,2991.800049,2991.800049,2929.699951,2987.800049,2987.797119,0
34710,2987.800049,2997.899902,2946.699951,2957.699951,2957.697021,0
34711,2957.699951,2971.699951,2939.399902,2963.100098,2963.097168,0
34712,2963.100098,3008.899902,2947.399902,3004.699951,3004.697021,0
34715,3010.699951,3044.199951,3010.699951,3041.699951,3041.696777,0
34716,3041.699951,3051.000000,3025.899902,3036.399902,3036.396729,0
34717,3036.399902,3043.899902,3005.899902,3041.199951,3041.196777,0
34718,3041.199951,3062.399902,3038.199951,3053.100098,3053.096924,0
34719,3039.399902,3039.399902,3013.000000,3023.300049,3023.296875,0
34722,2994.300049,2994.300049,2953.800049,2962.899902,2962.896973,0
34723,2962.899902,2988.199951,2953.500000,2987.899902,2987.896973,0
34724,2987.899902,3016.500000,2986.399902,3008.100098,3008.097168,0
34725,3026.199951,3053.000000,3026.199951,3043.300049,3043.296875,0
34726,3043.300049,3062.000000,3037.300049,3048.699951,3048.696777,0
34729,3045.600098,3045.600098,3031.800049,3038.199951,3038.196777,0
34730,3038.199951,3040.100098,3013.100098,3040.100098,3040.096924,0
34731,3054.199951,3084.300049,3054.199951,3072.000000,3071.996826,0
34732,3072.000000,3087.000000,3064.300049,3082.500000,3082.496826,0
34733,3083.000000,3134.600098,3083.000000,3131.899902,3131.896729,0
34736,3149.000000,3174.100098,3149.000000,3153.899902,3153.896729,0
34737,3153.899902,3162.300049,3133.500000,3142.100098,3142.096924,0
34738,3130.500000,3130.500000,3116.899902,3124.899902,3124.896729,0
34739,3127.100098,3163.000000,3127.100098,3144.800049,3144.796875,0
34740,3144.899902,3165.000000,3144.899902,3152.000000,3151.996826,0
34743,3131.199951,3131.199951,3112.100098,3123.500000,3123.496826,0
34744,3140.600098,3159.800049,3140.600098,3150.699951,3150.696777,0
34745,3150.699951,3155.899902,3138.100098,3141.699951,3141.696777,0
34746,3134.500000,3134.500000,3099.699951,3107.899902,3107.896729,0
34747,3092.199951,3092.199951,3065.800049,3089.899902,3089.896729,0
34750,3071.899902,3071.899902,3051.399902,3055.800049,3055.796875,0
34751,3055.800049,3059.300049,3043.500000,3059.000000,3058.996826,0
34752,3051.600098,3051.600098,3037.800049,3045.600098,3045.596924,0
34753,3054.300049,3082.899902,3054.300049,3072.600098,3072.596924,0
34754,3072.600098,3072.800049,3041.899902,3051.500000,3051.496826,0
34757,3023.000000,3023.000000,3003.399902,3012.100098,3012.096924,0
34758,3012.100098,3029.000000,3002.199951,3024.500000,3024.496826,0
34759,3024.500000,3047.800049,3017.800049,3037.600098,3037.596924,0
34760,3037.600098,3092.300049,3023.699951,3091.899902,3091.896729,0
34761,3091.899902,3092.199951,3050.600098,3056.300049,3056.296875,0
34764,3056.300049,3064.100098,3033.300049,3054.399902,3054.396729,0
34765,3047.100098,3047.100098,2963.300049,2976.100098,2976.097168,0
34766,2948.300049,2948.300049,2902.000000,2914.899902,2914.896973,0
34767,2914.899902,2943.000000,2854.600098,2871.100098,2871.097168,0
34768,2871.100098,2901.300049,2844.199951,2893.699951,2893.697021,0
34771,2893.699951,2903.500000,2872.300049,2885.399902,2885.396973,0
34772,2891.699951,2929.899902,2891.699951,2921.500000,2921.497070,0
34773,2921.500000,2939.199951,2878.699951,2886.399902,2886.396973,0
34774,2886.399902,2923.500000,2849.100098,2917.500000,2917.497070,0
34775,2917.500000,2917.500000,2875.500000,2889.199951,2889.197021,0
34778,0,0,0,0,0,0
34779,2889.199951,2907.000000,2876.300049,2896.899902,2896.896973,0
34780,2896.899902,2914.600098,2877.199951,2888.399902,2888.396973,0
34781,2877.300049,2877.300049,2833.600098,2865.100098,2865.097168,0
34782,2865.100098,2898.100098,2846.100098,2885.399902,2885.396973,0
34785,2906.100098,2927.300049,2906.100098,2911.600098,2911.597168,0
34786,2906.500000,2906.500000,2873.899902,2898.100098,2898.097168,0
34787,2884.100098,2884.100098,2857.399902,2883.600098,2883.597168,0
34788,2883.600098,2966.199951,2873.800049,2946.500000,2946.497070,0
34789,2946.500000,2954.399902,2916.699951,2931.699951,2931.697021,0
34792,2931.699951,2935.800049,2911.899902,2933.300049,2933.297119,0
34793,2959.800049,2995.399902,2959.800049,2985.500000,2985.497070,0
34794,2985.500000,3014.000000,2971.699951,3009.399902,3009.396973,0
34795,3009.399902,3022.300049,2988.399902,2989.800049,2989.797119,0
34796,2993.800049,3021.699951,2993.800049,3007.600098,3007.597168,0
34799,3007.600098,3019.399902,2992.100098,3016.699951,3016.696777,0
34800,3016.699951,3026.000000,2999.500000,3006.000000,3005.997070,0
34801,3006.000000,3018.899902,2988.600098,3011.199951,3011.197021,0
34802,0,0,0,0,0,0
34803,0,0,0,0,0,0
34806,3011.199951,3048.899902,3002.500000,3035.300049,3035.296875,0
34807,3015.199951,3015.199951,3001.399902,3011.399902,3011.396973,0
34808,2997.199951,2997.199951,2980.300049,2992.399902,2992.396973,0
34809,2992.399902,3006.699951,2982.899902,2987.800049,2987.797119,0
34810,2987.800049,3008.399902,2972.100098,3005.300049,3005.297119,0
34813,3005.300049,3010.699951,2993.899902,3008.699951,3008.697021,0
34814,3011.899902,3027.500000,3011.899902,3013.199951,3013.196777,0
34815,3013.199951,3029.000000,3012.399902,3027.800049,3027.796875,0
34816,3027.800049,3077.399902,3027.600098,3075.800049,3075.796875,0
34817,3075.800049,3107.000000,3071.399902,3091.899902,3091.896729,0
34820,0,0,0,0,0,0
34821,0,0,0,0,0,0
34822,3119.300049,3161.199951,3119.300049,3161.199951,3161.196777,0
34823,3179.399902,3213.399902,3179.399902,3193.199951,3193.196777,0
34824,3193.199951,3198.300049,3171.199951,3191.300049,3191.296875,0
34827,3195.000000,3259.100098,3195.000000,3252.000000,3251.996826,0
34828,3252.000000,3283.000000,3229.899902,3271.899902,3271.896484,0
34829,3274.500000,3326.100098,3274.500000,3290.300049,3290.296631,0
34830,3290.300049,3314.500000,3271.199951,3282.500000,3282.496582,0
34831,3271.600098,3271.600098,3233.699951,3240.899902,3240.896729,0
34834,0,0,0,0,0,0
34835,3240.899902,3277.699951,3224.800049,3233.899902,3233.896729,0
34836,3233.899902,3237.199951,3209.399902,3230.199951,3230.196777,0
34837,3230.199951,3238.199951,3219.600098,3225.399902,3225.396729,0
34838,3222.199951,3222.199951,3183.000000,3212.199951,3212.196777,0
34841,3220.100098,3269.000000,3220.100098,3267.899902,3267.896484,0
34842,3267.899902,3314.899902,3267.800049,3297.300049,3297.296631,0
34843,3315.500000,3348.800049,3315.500000,3316.199951,3316.196533,0
34844,3316.199951,3320.899902,3250.399902,3253.800049,3253.796631,0
34845,3242.600098,3242.600098,3222.899902,3230.800049,3230.796875,0
34848,3227.800049,3227.800049,3192.399902,3210.199951,3210.196777,0
34849,3210.199951,3259.600098,3204.699951,3226.000000,3225.996826,0
34850,3226.000000,3228.199951,3195.500000,3226.500000,3226.496826,0
34851,3240.500000,3261.000000,3240.500000,3253.199951,3253.196533,0
34852,3253.199951,3265.899902,3236.500000,3260.399902,3260.396484,0
34855,3260.399902,3283.800049,3248.199951,3269.100098,3269.096680,0
34856,3269.100098,3280.800049,3246.300049,3261.500000,3261.496582,0
34857,3253.199951,3253.199951,3236.800049,3250.000000,3249.996826,0
34858,3250.000000,3273.399902,3228.399902,3264.600098,3264.596680,0
34859,3264.600098,3272.600098,3236.500000,3242.800049,3242.796875,0
34862,3228.300049,3228.300049,3196.000000,3214.199951,3214.196777,0
34863,3221.399902,3238.300049,3221.399902,3235.300049,3235.296875,0
34864,3235.300049,3246.000000,3224.600098,3237.500000,3237.496826,0
34865,3233.100098,3233.100098,3218.600098,3230.800049,3230.796875,0
34866,3224.000000,3224.000000,3202.000000,3223.500000,3223.496826,0
34869,3223.500000,3238.699951,3222.399902,3235.699951,3235.696777,0
34870,3227.000000,3227.000000,3207.100098,3223.500000,3223.496826,0
34871,3218.699951,3218.699951,3205.199951,3217.500000,3217.496826,0
34872,3217.500000,3239.699951,3197.000000,3236.699951,3236.696777,0
34873,3236.699951,3260.500000,3222.800049,3260.100098,3260.096680,0
34876,3260.100098,3276.399902,3240.600098,3261.500000,3261.496582,0
34877,3261.500000,3263.699951,3243.199951,3260.000000,3259.996582,0
34878,3246.800049,3246.800049,3230.399902,3234.300049,3234.296875,0
34879,3234.300049,3241.100098,3217.300049,3223.500000,3223.496826,0
